Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.997575,0.9975354730531147,0.997575,0.9975091213864363
Decision Tree,0.997525,0.9975202336431024,0.997525,0.9975164799616355
Logistic Regression,0.9139,0.8800874803297333,0.9139,0.8955753822934003
XGBoost,0.9983,0.9982945606205434,0.9983,0.9982934826012113
